"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"0001","日経平均株価（日経225）","東証","株価指数","20250812","42718.17","897.69","2.15","41820.48","42098.32","42999.71","42083.58","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20250812","3066.37","42.16","1.39","3024.21","3038.35","3082.38","3036.87","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20250812","4500","-40","-0.88","4540","4545","4560","4450","135000","604366","54352","3840","5240"
"130A","Veritas_In_Silico","東証GR","医薬品","20250812","774","2","0.26","772","780","787","753","156200","119903","5021","622","922"
"1332","ニッスイ","東証PR","水産・農林","20250812","974.3","1.7","0.17","972.6","975","982.8","969.4","1776100","1733039","304401","822.6","1123"
"1333","マルハニチロ","東証PR","水産・農林","20250812","3250","-45","-1.37","3295","3295","3295","3243","384800","1253052","164381","2595","3995"
"135A","VRAIN_Solution","東証GR","情報通信","20250812","2284","-20","-0.87","2304","2305","2310","2244","54400","124080","23091","1804","2804"
"1375","ユキグニファクトリー","東証PR","水産・農林","20250812","1098","-16","-1.44","1114","1120","1120","1098","196400","216721","43822","814","1414"
"1376","カネコ種苗","東証ST","水産・農林","20250812","1410","3","0.21","1407","1410","1414","1400","15500","21822","16599","1107","1707"
"1377","サカタのタネ","東証PR","水産・農林","20250812","3625","10","0.28","3615","3615","3635","3605","99000","358732","164614","2915","4315"
"1379","ホクト","東証PR","水産・農林","20250812","1872","-13","-0.69","1885","1866","1876","1854","63500","118506","62448","1485","2285"
"137A","Cocolive","東証GR","情報通信","20250812","1380","84","6.48","1296","1320","1385","1319","75700","102992","4100","996","1596"
"1380","秋川牧園","東証ST","水産・農林","20250812","1040","11","1.07","1029","1042","1042","1022","3100","3204","4346","729","1329"
"1381","アクシーズ","東証ST","水産・農林","20250812","3010","-90","-2.9","3100","3100","3100","2975","10500","32167","16909","2400","3800"
"1382","ホーブ","東証ST","水産・農林","20250812","1768","25","1.43","1743","1754","1768","1751","1600","2808","1347","1343","2143"
"1383","ベルグアース","東証ST","水産・農林","20250812","2990","2","0.07","2988","2988","2995","2978","1500","4481","4825","2488","3490"
"1384","ホクリヨウ","東証ST","水産・農林","20250812","1758","19","1.09","1739","1795","1795","1743","58300","102681","14871","1339","2139"
"138A","光フードサービス","東証GR","小売","20250812","2397","37","1.57","2360","2410","2410","2305","1900","4443","2378","1860","2860"
"1401","エムビーエス","東証GR","建設","20250812","1316","36","2.81","1280","1295","1320","1276","49500","64501","10175","980","1580"
"1407","ウエストホールディングス","東証ST","建設","20250812","1674","22","1.33","1652","1652","1674","1650","271600","451353","77050","1252","2052"
"1414","ショーボンドホールディングス","東証PR","建設","20250812","5123","109","2.17","5014","5084","5134","5054","495900","2529127","280460","4014","6014"
