"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250730","2920.18","11.54","0.4","2908.64","552947606669121","2185373919776","550762232749345","32933151082139","18935413029457","1679","257049584573"
"0002","大型","20250730","2854.94","7.57","0.27","2847.37","366034334472607","969736491200","365064597981407","366034334472607","12821099853424","100","169803587776"
"0003","中型","20250730","3143.72","21.76","0.7","3121.96","144055343880280","997431528268","143057912352012","36285980826267","4582314655335","397","60921830395"
"0004","小型","20250730","5015.49","25.53","0.51","4989.96","42857928316234","218205900308","42639722415926","3625882260257","854510450107","1182","26324166402"
"0028","TOPIX Core30","20250730","1529.34","3.31","0.22","1526.03","229242784418846","497048739187","228745735679659","764142614729488","149896336788919","30","115749087567"
"0029","TOPIX Large70","20250730","2828.73","9.78","0.35","2818.95","136791550053760","472687752012","136318862301748","195416500076801","48358006238669","70","54054500209"
"002A","TOPIX 100","20250730","1980.39","5.25","0.27","1975.14","366034334472607","969736491200","365064597981407","366034334472607","184829322472030","100","169803587776"
"002B","TOPIX Mid400","20250730","2987.61","20.69","0.7","2966.92","144055343880280","997431528268","143057912352012","36285980826267","48217664989420","397","60921830395"
"002C","TOPIX 500","20250730","2276.85","8.78","0.39","2268.07","510089678352887","1967168019468","508122510333419","102633738099172","224032852798253","497","230725418171"
"002D","TOPIX Small","20250730","3397.34","17.3","0.51","3380.04","42857928316234","218205900308","42639722415926","3625882260257","12615161081144","1182","26324166402"
"002E","TOPIX 1000","20250730","2762.78","10.97","0.4","2751.81","540195396238396","2144739899696","538050656338700","54786551342637","195525741935000","986","246346125482"
"002F","TOPIX Small500","20250730","1504.16","8.88","0.59","1495.28","30105717885509","177571880228","29928146005281","6156588524644","20015028608452","489","15620707311"
"0040","水産・農林業","20250730","584.86","5.45","0.94","579.41","423609085508","3945938693","419663146815","6051558364400","72429180909","7","284274267"
"0041","鉱業","20250730","627.93","4.71","0.76","623.22","1412506951060","10593694093","1401913256967","28250139021200","224947461393","5","708957286"
"0042","建設業","20250730","2057.19","16.25","0.8","2040.94","12711044054938","100382226164","12610661828774","16725057967024","617885178065","76","4844866540"
"0043","食料品","20250730","2287.48","20.65","0.91","2266.83","16387418855983","147958200210","16239460655774","23080871628145","716395305100","71","5808186832"
"0044","繊維製品","20250730","820.13","13.44","1.67","806.69","2231295271255","36549273840","2194745997415","10625215577405","272067505496","21","1586053548"
"0045","パルプ・紙","20250730","539.6","-4.48","-0.82","544.08","773560997194","-6432611041","779993608235","9669512464925","143359382066","8","885832100"
"0046","化学","20250730","2375.91","7.4","0.31","2368.51","26317904220363","81993034789","26235911185574","21572052639642","11076970167450","122","11662779299"
"0047","医薬品","20250730","3463.17","9.82","0.28","3453.35","21737459453988","61687888679","21675771565309","63933704276436","6276746425050","34","6516858850"
